track_name,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,loudness,valence,mode
Secret Love Song (feat. Jason Derulo),0.6252066497581812,0.2651491528947096,0.2566987015334558,0.05022366815778772,0.2169234942326819,0.0,0.75,0.4322916666666667,0.8181818181818182,0.8706668347409556,0.11439506697852433,1.0
Lonely (with benny blanco),0.24014498855083324,0.09780688078162356,0.17768806676106402,0.033753558357055714,0.871841860525194,0.0,0.75,0.5651041666666665,1.0,0.8064099331904703,0.06304486497980014,0.0
Lose You To Love Me - Demo Version,0.3212646451785146,0.35765512940442784,0.3155243575452656,0.02074013826758845,0.9000971983621591,0.0,0.75,0.5325520833333333,0.36363636363636365,0.7712403882516073,0.5513502019987242,1.0
Too Much (feat. Usher),0.9096388635033423,0.2454006859993764,0.4557768204139427,0.03436356242374949,0.004150709128250171,0.0,0.75,0.6705729166666665,0.5454545454545454,0.9422664817849491,0.7459068679566234,0.0
When We Were Kids,0.371579368909608,0.08429477185323772,0.4431054740457326,0.06954046360309069,0.2643520970304447,0.0,0.75,0.73046875,0.5454545454545454,0.7649376024202699,0.1622368700829258,0.0
The One,0.30586217873022065,0.2828188338010602,0.29899075106197087,0.010573403822692153,0.24013323602733178,8.331616889804327e-06,0.75,0.7330729166666665,0.18181818181818182,0.6711836631791253,0.12396342759940465,1.0
Lily,0.6457432716892398,0.1736825693794824,0.6062061277980297,0.07035380235868238,0.19775022927188415,0.0,0.75,0.2942708333333333,0.5454545454545454,0.844037564603555,0.46098235169041046,0.0
I Miss You (feat. Julia Michaels),0.6354749607237106,0.07649932439455359,0.3291838640677251,0.04392029280195201,0.3016895077435771,7.868177136972194e-06,0.75,0.6458333333333333,0.0,0.7934577083070719,0.35679353604082503,0.0
Yellow,0.6734677112961689,0.22045525413158717,0.7411381917874251,0.009963399755998373,0.002374659321355223,0.00012461380020597324,0.75,0.3020833333333333,1.0,0.8014937602420271,0.267488836912609,1.0
Adventure of a Lifetime,0.9435242896895889,0.1321068495998337,0.37131925405959093,0.026026840178934522,0.0020315587904777897,0.00018022657054582905,0.75,0.57421875,0.6363636363636364,0.9067502836253626,0.5279608760365724,1.0
Everglow,0.4516721944407364,0.09364930880365868,0.5768565661434639,0.01220008133387556,0.4601212234722742,0.07044284243048404,0.75,0.4388020833333333,0.36363636363636365,0.7407349048279341,0.10907931107803531,1.0
Lost!,0.7946337806894144,0.3711672383328137,0.22041996806555592,0.03660024400162668,0.00571484390136788,0.8619979402677652,0.75,0.21093749999999994,0.6363636363636364,0.7922601789991177,0.5832447374016585,1.0
On Top Of The World,0.9435242896895889,0.0645463049579046,0.2993161208688579,0.24969499796665312,0.08482978984487012,3.697219361483007e-06,0.75,0.5651041666666665,0.0,0.8531135762006808,0.7671698915585796,1.0
A Sky Full of Stars,0.6878433466479099,0.19447042926930672,0.44949838821438254,0.009556730378202524,0.006189129929345509,0.0020288362512873325,0.75,0.45312499999999994,0.5454545454545454,0.8252237488970126,0.13672124176057837,1.0
Dance Again,0.5615431217718998,0.17680074836295606,0.3712529750248546,0.1299308662057747,0.045070493031426385,0.0,0.75,0.7643229166666665,0.09090909090909091,0.8004222866506997,0.4588560493302148,0.0
Fun,0.4249745859303603,0.13418563558881613,0.3826107914319284,0.8413989426596177,0.07665592425631951,5.0669412976313085e-05,0.75,0.8671874999999998,1.0,0.7095676288919703,0.5205188177758877,0.0
Falling Down,0.9168266811792128,0.35037937844298933,0.5401560569999697,0.12200081333875559,0.00011019581756416384,8.105046343975283e-06,0.75,0.4986979166666666,0.0,0.9184104374133368,0.8203274505634701,1.0
